frame,joint,donny_angle,test_angle,difference,donny_time,test_time
23,Left Leg,138.4039055111402,178.62157427637766,40.21766876523745,766.6666666666666,766.6666666666666
23,Right Leg,164.43047869764027,113.51478689644412,50.91569180119615,766.6666666666666,766.6666666666666
23,Left Shoulder,103.66389213415168,38.81320469936553,64.85068743478615,766.6666666666666,766.6666666666666
23,Right Shoulder,96.4179840578864,134.84346485965332,38.42548080176692,766.6666666666666,766.6666666666666
24,Right Arm,18.00401157861557,58.48796053091931,40.483948952303734,800.0,800.0
24,Left Leg,136.36615082512105,176.79672783487268,40.43057700975163,800.0,800.0
24,Right Leg,169.46359297936436,119.21130126272192,50.252291716642446,800.0,800.0
24,Left Shoulder,106.23068859329884,21.02140190879419,85.20928668450465,800.0,800.0
24,Right Shoulder,96.35013030462112,147.13335238045588,50.78322207583476,800.0,800.0
25,Right Arm,20.303114985021622,173.4002621524394,153.0971471674178,833.3333333333334,833.3333333333334
25,Left Leg,134.62450855730208,175.64015571970089,41.01564716239881,833.3333333333334,833.3333333333334
25,Right Leg,171.7301839346625,128.1966524989165,43.533531435746,833.3333333333334,833.3333333333334
25,Left Shoulder,105.783022331514,15.32180687874528,90.46121545276873,833.3333333333334,833.3333333333334
25,Right Shoulder,97.05394108245646,154.03699986305165,56.98305878059519,833.3333333333334,833.3333333333334
