frame,joint,donny_angle,test_angle,difference,donny_time,test_time
17,Left Arm,164.75083897918844,92.531908740843,72.21893023834545,566.6666666666666,566.6666666666666
17,Right Arm,80.18881488919654,2.022508577871519,78.16630631132502,566.6666666666666,566.6666666666666
17,Right Shoulder,113.88912460508227,24.23823683145725,89.65088777362502,566.6666666666666,566.6666666666666
18,Left Arm,163.14934390898443,86.68526508368078,76.46407882530366,600.0,600.0
18,Right Arm,79.21452037978788,2.2298183616473297,76.98470201814055,600.0,600.0
18,Right Shoulder,112.8484263447281,24.25462028161263,88.59380606311547,600.0,600.0
19,Left Arm,151.14859007143642,92.01735729430024,59.13123277713618,633.3333333333333,633.3333333333333
19,Right Arm,77.66514902046404,2.4764892931170177,75.18865972734703,633.3333333333333,633.3333333333333
19,Right Shoulder,108.24074960083252,24.189355910182627,84.05139369064989,633.3333333333333,633.3333333333333
20,Left Arm,150.93716192480318,93.44998489202202,57.48717703278116,666.6666666666666,666.6666666666666
20,Right Arm,76.09410347585852,2.535935465209024,73.5581680106495,666.6666666666666,666.6666666666666
20,Right Shoulder,105.43257210783617,23.547417586666604,81.88515452116957,666.6666666666666,666.6666666666666
21,Left Arm,149.96934502357928,97.05734407698507,52.912000946594205,700.0,700.0
21,Right Arm,75.71794294376217,2.9059389058398373,72.81200403792234,700.0,700.0
21,Right Shoulder,103.66489216470784,24.198029750944382,79.46686241376345,700.0,700.0
22,Left Arm,135.89087672926348,104.78254502324926,31.108331706014226,733.3333333333333,733.3333333333333
22,Right Arm,75.07123874300042,4.033294527054017,71.03794421594641,733.3333333333333,733.3333333333333
22,Right Shoulder,101.39265299006756,25.5651972300085,75.82745576005905,733.3333333333333,733.3333333333333
23,Left Arm,142.76955920203977,112.43155286945051,30.33800633258926,766.6666666666666,766.6666666666666
23,Right Arm,76.59881029245595,5.274039662888716,71.32477062956724,766.6666666666666,766.6666666666666
23,Left Shoulder,97.401110977593,65.1862057027746,32.214905274818406,766.6666666666666,766.6666666666666
23,Right Shoulder,101.09125329244998,27.32095240855476,73.77030088389522,766.6666666666666,766.6666666666666
24,Left Arm,150.9113825594637,114.17446515512532,36.736917404338385,800.0,800.0
