frame,ball_x,ball_y,chest_x,chest_y,rw_x,rw_y,dist_ball_chest,dist_ball_right_wrist,contact
36,1354.0,198.0,1756.720790863037,1109.46462392807,2161.3833618164062,972.6755690574646,996.4696664051988,1118.9236480799163,0
37,1354.0,204.0,1758.1828308105469,1111.1065220832825,2113.7168884277344,955.6807065010071,993.0790518020485,1068.734595251867,0
38,1354.0,213.0,1765.5817794799805,1108.7530446052551,2076.2866973876953,952.091073989868,985.7855132428613,1033.418448100633,0
39,1355.0,218.0,1776.118984222412,1111.2222647666931,2022.4443054199219,951.9052934646606,987.5156774185697,992.0175807983101,0
40,1354.0,237.0,1774.0806198120117,1113.0271553993225,1994.373779296875,967.7505826950073,971.5406857865875,971.6352151502413,0
41,1353.0,254.0,1739.8176956176758,1111.3794314861298,1863.0767440795898,1010.6978130340576,940.5994998820954,912.5622527265529,0
42,1354.0,265.0,1744.3592262268066,1106.7728662490845,1811.839485168457,963.9814138412474,927.8803176345483,835.5788479101341,0
43,1353.0,298.0,1755.7970237731931,1101.2589311599731,1665.2181243896482,1079.0053725242615,898.5935415129605,841.1002015866779,0
44,1353.0,324.0,1746.0341262817383,1091.974378824234,1755.1020812988281,1062.9997301101682,862.7053210410363,841.3124775538224,0
45,1326.0,316.0,1730.0657844543457,1108.0238914489746,1652.5869369506834,651.9283246994019,889.1405978767829,468.5155992303526,0
46,1161.0,273.0,1762.5078964233396,1094.0100467205048,1519.1505432128904,495.696816444397,1017.7766190454743,421.74125202327303,0
47,1067.0,249.0,1773.7735748291016,1092.3645436763763,1243.6125183105469,485.0841522216795,1100.3602317455725,294.83505313008897,0
